Index,Person in charge,Model name,Source code description,Model figure,Source code URL,Impact of the model proposed,Dataset Name,Dataset description,Dataset URL link,Paper citation,Paper pdf URL
29,Lixing Zhu,Disentangled Opinion Clustering (DOC),"Repository for the paper ""Disentangling Aspect and Stance via a Siamese Autoencoder for Aspect Clustering of Vaccination Opinions"" appears in  Findings of ACL 2023",,https://github.com/somethingx1202/DOC,3 citations,,,,"@inproceedings{zhu-etal-2023-disentangling,
    title = ""Disentangling Aspect and Stance via a {S}iamese Autoencoder for Aspect Clustering of Vaccination Opinions"",
    author = ""Zhu, Lixing  and
      Zhao, Runcong  and
      Pergola, Gabriele  and
      He, Yulan"",
    editor = ""Rogers, Anna  and
      Boyd-Graber, Jordan  and
      Okazaki, Naoaki"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2023"",
    month = jul,
    year = ""2023"",
    address = ""Toronto, Canada"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2023.findings-acl.115"",
    doi = ""10.18653/v1/2023.findings-acl.115"",
    pages = ""1827--1842"",
    abstract = ""Mining public opinions about vaccines from social media has been increasingly relevant to analyse trends in public debates and to provide quick insights to policy-makers. However, the application of existing models has been hindered by the wide variety of users{'} attitudes and the new aspects continuously arising in the public debate. Existing approaches, frequently framed via well-known tasks, such as aspect classification or text span detection, make direct usage of the supervision information constraining the models to predefined aspect classes, while still not distinguishing those aspects from users{'} stances. As a result, this has significantly hindered the dynamic integration of new aspects. We thus propose a model, namely Disentangled Opinion Clustering (DOC), for vaccination opinion mining from social media. DOC is able to disentangle users{'} stances from opinions via a disentangling attention mechanism and a Swapping-Autoencoder, and is designed to process unseen aspect categories via a clustering approach, leveraging clustering-friendly representations induced by out-of-the-box Sentence-BERT encodings and disentangling mechanisms. We conduct a thorough experimental assessment demonstrating the benefit of the disentangling mechanisms and cluster-based approach on both the quality of aspect clusters and the generalization across new aspect categories, outperforming existing methodologies on aspect-based opinion mining."",
}",https://aclanthology.org/2023.findings-acl.115.pdf
30,Lixing Zhu,LLMLINK,"Repository for the paper ""LLMLINK: Dual LLMs for Dynamic Entity Linking on Long Narratives with Collaborative Memorisation and Prompt Optimisation"" appears in  COLING2025",,https://github.com/somethingx1202/LlmLink,0 citation,,,,"@inproceedings{zhu-etal-2025-llmlink,
    title = ""{L}lm{L}ink: Dual {LLM}s for Dynamic Entity Linking on Long Narratives with Collaborative Memorisation and Prompt Optimisation"",
    author = ""Zhu, Lixing  and
      Wang, Jun  and
      He, Yulan"",
    editor = ""Rambow, Owen  and
      Wanner, Leo  and
      Apidianaki, Marianna  and
      Al-Khalifa, Hend  and
      Eugenio, Barbara Di  and
      Schockaert, Steven"",
    booktitle = ""Proceedings of the 31st International Conference on Computational Linguistics"",
    month = jan,
    year = ""2025"",
    address = ""Abu Dhabi, UAE"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2025.coling-main.751/"",
    pages = ""11334--11347""
}",https://aclanthology.org/2025.coling-main.751.pdf
31,Jun Wang,PromptRRG: Can Prompt Learning Benefit Radiology Report Generation?,"
A model that utilizes prompt learning to activate a pretrained model and incorporate prior knowledge for radiology report generation. ",,N/A,1 citation,,,,"@article{wang2023can,
  title={Can Prompt Learning Benefit Radiology Report Generation?},
  author={Wang, Jun and Zhu, Lixing and Bhalerao, Abhir and He, Yulan},
  journal={arXiv preprint arXiv:2308.16269},
  year={2023}
}",https://arxiv.org/pdf/2308.16269.pdf
32,Wenjia Zhang,BTIC -- Bert-based Multimodal Fake News Detection Framework,"
A Bert-based multimodal fake news detection framework, which captures both textual and visual infomration from unreliable news articles utilising the contrastive learning strategy.",,https://github.com/WenjiaZh/BTIC,"22 paper citations, 9 stars, 3 forks",,,,"@inproceedings{zhang2021supervised,
  title={Supervised contrastive learning for multimodal unreliable news detection in covid-19 pandemic},
  author={Zhang, Wenjia and Gui, Lin and He, Yulan},
  booktitle={Proceedings of the 30th ACM International Conference on Information \& Knowledge Management},
  pages={3637--3641},
  year={2021}
}",https://arxiv.org/pdf/2109.01850.pdf
33,Wenjia Zhang,NewsQuote — News Source and Quotation Dataset,"
A dataset built on quote extraction and attribution for expert recommendation, consisting of 24,031 quote-speaker pairs that appeared on a COVID-19 news corpus.",,https://github.com/WenjiaZh/NewsQuote,"2 paper citation, 2 stars",NewsQuote — News Source and Quotation Dataset,"A dataset built on quote extraction and attribution for expert recommendation, consisting of 24,031 quote-speaker pairs that appeared on a COVID-19 news corpus.",https://github.com/WenjiaZh/NewsQuote,"@article{zhang2023newsquote,
  title={NewsQuote: A Dataset Built on Quote Extraction and Attribution for Expert Recommendation in Fact-Checking},
  author={Zhang, Wenjia and Gui, Lin and Procter, Rob and He, Yulan},
  journal={arXiv preprint arXiv:2305.04825},
  year={2023}
}",https://arxiv.org/pdf/2305.04825.pdf
34,Zhaoyue Sun,Leveraging ChatGPT in Pharmacovigilance Event Extraction,An empirical study that evaluates ChatGPT's ability on pharmacovigilance event extraction. Several zero-shot and few-shot solutions are proposed and compared with finetuned small models. We also evaluated the effect of introducing ChatGPT generated instances for data augmentation. ,,https://github.com/ZhaoyueSun/phee-with-chatgpt,,,,,"@article{sun2024leveraging,
  title={Leveraging ChatGPT in Pharmacovigilance Event Extraction: An Empirical Study},
  author={Sun, Zhaoyue and Pergola, Gabriele and Wallace, Byron C and He, Yulan},
  journal={arXiv preprint arXiv:2402.15663},
  year={2024}
}",https://arxiv.org/pdf/2402.15663.pdf
35,Xinyu Wang,Unified Task Embeddings Across Multiple Models,"A framework for unified task embeddings (FUTE), harmonizing task embeddings from various models, including smaller language models and LLMs with varied prompts, within a single vector space. Such uniformity enables comparison and analysis of similarities amongst different models, broadening the scope and utility of existing task embedding methods in multi-model scenarios, while maintaining their performance comparable to architecture-specific methods.",,https://github.com/xnyuwg/fute,,,,,"@inproceedings{wang-etal-2024-towards-unified,
    title = ""Towards Unified Task Embeddings Across Multiple Models: Bridging the Gap for Prompt-Based Large Language Models and Beyond"",
    author = ""Wang, Xinyu  and
      Xu, Hainiu  and
      Gui, Lin  and
      He, Yulan"",
    editor = ""Ku, Lun-Wei  and
      Martins, Andre  and
      Srikumar, Vivek"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2024"",
    month = aug,
    year = ""2024"",
    address = ""Bangkok, Thailand"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.findings-acl.493/"",
    doi = ""10.18653/v1/2024.findings-acl.493"",
    pages = ""8324--8340"",
}",https://aclanthology.org/2024.findings-acl.493/
36,Linhai Zhang,PROgressive PERsonalization (PROPER),"PROgressive PERsonalization (PROPER), a novel progressive learning framework inspired by meso-level theory in social science. PROPER bridges population-level and user-level models by grouping users based on preferences and adapting LLMs in stages. It combines a Mixture-of-Experts (MoE) structure with Low Ranked Adaptation (LoRA), using a user-aware router to assign users to appropriate groups automatically. Additionally, a LoRA-aware router is proposed to facilitate the integration of individual user LoRAs with group-level LoRAs.",,https://anonymous.4open.science/r/PROPER-63E5/,,,,,"@misc{zhang2025properprogressivelearningframework,
      title={PROPER: A Progressive Learning Framework for Personalized Large Language Models with Group-Level Adaptation}, 
      author={Linhai Zhang and Jialong Wu and Deyu Zhou and Yulan He},
      year={2025},
      eprint={2503.01303},
      archivePrefix={arXiv},
      primaryClass={cs.CL},
      url={https://arxiv.org/abs/2503.01303}, 
}",https://arxiv.org/pdf/2503.01303
37,Yanzheng Xiang,Information-Augmented and ConsistencyEnhanced fine-tuning approach (InfoAC,"We propose a novel Information-Augmented and ConsistencyEnhanced fine-tuning approach to alleviate the sensitivity of CausalLMs to the order of in-context examples.
",,https://github.com/xyzCS/InfoAC,"6 paper citation, 3 stars",,,,"@inproceedings{xiang-etal-2024-addressing,
    title = ""Addressing Order Sensitivity of In-Context Demonstration Examples in Causal Language Models"",
    author = ""Xiang, Yanzheng  and
      Yan, Hanqi  and
      Gui, Lin  and
      He, Yulan"",
    editor = ""Ku, Lun-Wei  and
      Martins, Andre  and
      Srikumar, Vivek"",
    booktitle = ""Findings of the Association for Computational Linguistics: ACL 2024"",
    month = aug,
    year = ""2024"",
    address = ""Bangkok, Thailand"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.findings-acl.386/"",
    doi = ""10.18653/v1/2024.findings-acl.386"",
    pages = ""6467--6481""
}",https://arxiv.org/abs/2402.15637
38,Zhaoyue Sun,ExDDI: Explaining Drug-Drug Interaction Predictions with Natural Language,ExDDI: Explaining Drug-Drug Interaction Predictions with Natural Language. A set of models that generate natural language explanations for DDI predictions.,,https://github.com/ZhaoyueSun/ExDDI,"0 paper citation, 0 stars",,,,"@article{sun2024exddi,
  title={ExDDI: Explaining Drug-Drug Interaction Predictions with Natural Language},
  author={Sun, Zhaoyue and Li, Jiazheng and Pergola, Gabriele and He, Yulan},
  journal={arXiv preprint arXiv:2409.05592},
  year={2024}
}",https://arxiv.org/abs/2409.05592
39,Hanqi Yan,"Mirror(Multiple-perspective self-
reflection method for knowledge-rich reasoning)","While Large language models (LLMs) have the capability to iteratively reflect on their own outputs, recent studies have observed their struggles with knowledge-rich problems without access to external resources. In addition to the inefficiency of LLMs in self-assessment, we also observe that LLMs struggle to revisit their predictions despite receiving explicit negative feedback. Therefore, We propose Mirror, a Multiple-perspective self-reflection method for knowledge-rich reasoning, to avoid getting stuck at a particular reflection iteration. ",,https://github.com/hanqi-qi/Mirror,"6 paper citation, 12 star",,,,"@inproceedings{yan-etal-2024-mirror,
    title = ""Mirror: Multiple-perspective Self-Reflection Method for Knowledge-rich Reasoning"",
    author = ""Yan, Hanqi  and
      Zhu, Qinglin  and
      Wang, Xinyu  and
      Gui, Lin  and
      He, Yulan"",
    editor = ""Ku, Lun-Wei  and
      Martins, Andre  and
      Srikumar, Vivek"",
    booktitle = ""Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
    month = aug,
    year = ""2024"",
    address = ""Bangkok, Thailand"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.acl-long.382/"",
    doi = ""10.18653/v1/2024.acl-long.382"",
    pages = ""7086--7103"",
}",https://aclanthology.org/2024.acl-long.382/
40,Hanqi Yan,Revisit Monosemanticity from a Feature Decorrelation Perspective,"To better interpret the intrinsic mechanism of large language models (LLMs), recent studies focus on monosemanticity on its basic units. A monosemantic neuron is dedicated to a single and specific concept, which forms a one-to-one correlation between neurons and concepts. Despite extensive research in monosemanticity probing, it remains unclear whether monosemanticity is beneficial or harmful to model capacity. To explore this question, we revisit monosemanticity from the feature decorrelation perspective and advocate for its encouragement.",,https://github.com/hanqi-qi/Revisit_monosemanticity,"5 paper citation, 2 star",,,,"@inproceedings{yan-etal-2024-encourage,
    title = ""Encourage or Inhibit Monosemanticity? Revisit Monosemanticity from a Feature Decorrelation Perspective"",
    author = ""Yan, Hanqi  and
      Xiang, Yanzheng  and
      Chen, Guangyi  and
      Wang, Yifei  and
      Gui, Lin  and
      He, Yulan"",
    editor = ""Al-Onaizan, Yaser  and
      Bansal, Mohit  and
      Chen, Yun-Nung"",
    booktitle = ""Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing"",
    month = nov,
    year = ""2024"",
    address = ""Miami, Florida, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2024.emnlp-main.582/"",
    doi = ""10.18653/v1/2024.emnlp-main.582"",
    pages = ""10423--10435"",
}",https://aclanthology.org/2024.emnlp-main.582/
41,Hanqi Yan,The Multi-faceted Monosemanticity in Multimodal Representations,"We leverage recent advancements in feature monosemanticity to extract interpretable features from deep multi-modal models, offering a data-driven understanding of modality gaps. ",,,0 paper citation,,,,"@inproceedings{
yan2024the,
title={The Multi-faceted Monosemanticity in Multimodal Representations},
author={Hanqi Yan and Yulan He and Yifei Wang},
booktitle={Workshop on Responsibly Building the Next Generation of Multimodal Foundational Models},
year={2024},
url={https://openreview.net/forum?id=9NLRpwfLnT}
}",https://openreview.net/forum?id=9NLRpwfLnT
